orgao,logo,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019,01/2020,02/2020,03/2020,04/2020,05/2020,06/2020,07/2020,08/2020,09/2020,10/2020,11/2020,12/2020,01/2021,02/2021,03/2021,04/2021,05/2021,06/2021,07/2021,08/2021,09/2021,10/2021,11/2021,12/2021
Agricultura,http://movimentoacredito.org/dados/external_img/tractor_3.png,1.82648401826484,1.82648401826484,1.8320953362933035,1.8348881253120572,1.8348881253120572,1.8320695963023477,1.821049401795915,1.802191897182561,1.772812732352092,1.746924775429652,1.746924775429652,1.752054657634732,1.764713526438216,1.7673356175558823,1.775202200312333,1.9124683689901083,2.063923395445135,2.0560568126886847,1.9111292764568004,1.603762880116605,1.4530725903423838,1.313891079776081,1.313891079776081,1.3177384914298909,1.3296985448514629,1.392393102418696,1.3885456907648859,1.2644642279410294,1.0627074952854203,0.9249799347603584,0.8864277822651774,0.8724966779085411,0.7203858938465905,0.5834360201595808,0.4655855561674846,0.4896828489872443,0.515030769640076,0.5333553529848621,0.5465772446597925,0.5535093104153878,0.5689480462034803,0.6245941370655972,0.6725091849806452,0.7012188888605566,0.4614107353833384,0.4520241488155438,0.22371364653243878,0.22371364653243878,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,2.9605947323337506e-16,0.234741784037559,0.47454993751477725,0.7143580909919955,0.7194244604316551,0.7110977884359183,0.6996001372418051,0.6912734652460685,0.6896770412358514,0.696108322990305,0.6993686255463821,0.9139280125195622,0.933639154690655,1.2020420247411465,1.86053875676729,2.6513819978060256,3.4484737503373606,3.715395587565402,4.109745046010152,4.263647341851617,4.352819120521112,3.5981050016782903,2.5990288703209674,1.591971479082785,1.3621025433369969,1.4739333962697516,1.5793695960316698,1.6873700879912061,1.6705316694554753,1.7753697241927526,1.8659014323715197,1.8622945143026637,1.7464909461052185,1.6411417888984758,1.6393560108349738,1.6375702327714716,1.4193576220367141,1.1983199081377778,0.9869909321029192,0.9936582655029259,1.0022595836549326,1.0000520781361688,0.993384744736162,0.9922846589294693,0.9911918344152296,0.9827022394750283,1.069549243426394
Cidadania,http://movimentoacredito.org/dados/external_img/people_3.png,1.3123359580052494,1.0551041492153908,0.9686547555335142,0.7916261028650977,0.7860853227232537,0.78125,0.7779027420736933,0.771939001615678,0.7640475874742639,0.6770462059447883,0.6757578366981623,0.6732325841729097,0.751920775867498,0.7462809713807202,0.7462809713807202,0.6617283649547221,0.49732913201397166,0.3294309382537089,0.24835284530873145,0.24633032658526435,0.24435672547373222,0.24135941106744027,0.2407717081630125,0.2411588009414096,0.24541878146721288,0.38911873019738197,0.4744409115610948,0.4773127608111003,0.3351993204140662,0.25290402994909783,0.24794852179405505,0.24855970149311016,0.24671685909299224,0.24551533315505106,0.3238329430294632,0.4035540970277857,0.482707506473166,0.48388291228202157,0.48586110468892785,0.4898083069119921,0.49810528909214863,0.508771000111108,0.6963703779570514,0.8067662705593293,1.0158436291820196,1.042828517644481,1.1450714036920937,1.1333316839512213,1.1218532633818914,1.1879477992226863,1.2539910758465345,1.4075149509613187,1.388386179550137,1.473406899922473,1.4750396062965585,1.5774134425671278,1.5774134425671278,1.5874287660119986,1.5908530834599233,1.5958132040900568,1.5825426405223986,1.671636959922184,1.7653288120069917,1.9662826214758582,2.0526647352969967,2.0394494584369465,1.9271875849457585,1.8164060717252208,1.7090038366634113,1.699903496310682,1.692774705799102,1.7857460153876226,1.9735709554779433,2.068804379548702,2.2759148110899576,2.3703447445125225,2.6361182181354157,3.15132545018935,3.6530920533737246,4.22958063856252,4.457650814001117,4.825527222206321,4.937270401514113,4.939109677122489,4.8517493837037255,4.984995195577469,5.294966373939071,5.062241551766534,4.625256374026495,4.054382844809514,3.8172885669042866,3.291325590572621,2.850410873236902,2.6215202117017724,2.757879170228066,2.7552170823525457,2.6318066259367234,2.659638234397532,2.882248252967011,3.1904537716587686,3.3431985774152237,3.299776953446487,3.184834424710855,3.096557588552663,3.0862504353883664,3.072175840032983,3.164296021438878,3.3887629125724352
Ciência & Comunicações,http://movimentoacredito.org/dados/external_img/antenna_2.png,0.3508771929824561,0.35401002506265666,0.3550543024227235,0.3579993148338472,0.37175382062022555,0.3865750101402102,0.40107953555213866,0.40268601286867894,0.4005695099664244,0.40002971638349044,0.40112246924650297,0.40432293011286774,0.40168771734578895,0.39690531658060485,0.5213559222927301,0.6475225838924625,0.6445175504614656,0.5123406413219521,0.3816830962157378,0.38217430360349697,0.25494784049917124,0.25690525690525684,0.25740025740025735,0.38659922380852607,0.38965140077374655,0.48466491860605626,0.4807792354058076,0.48343553189099603,0.3859845116211839,0.38838514923053297,0.3792898302880154,0.37881336754740164,0.37641272993805264,0.3808011328519522,0.38471665545185924,0.38378148169657544,0.3784579050273922,0.3826250274730763,0.39052205029547227,0.40055254299327353,0.4027381561943773,0.5382006410544525,0.6770160826197619,0.8210737056689816,0.8346300407138023,0.84389187270417,0.985720756156285,1.126367732246299,1.2605485232067513,1.3806130149909095,1.5051201741525613,1.5016766479817623,1.3628970343791746,1.2313867062835804,1.2401044940577546,1.2570467548330324,1.2622770627238236,1.2640649480131034,1.2712473081366402,1.2712473081366402,1.2676865618042088,1.2587461762947856,1.2552447757345615,1.2517433751743374,1.2517433751743374,1.253486750348675,1.2433241487226587,1.5051862157251923,1.6287815939383885,1.768725616329432,1.6217868408192284,1.6152566550354426,2.754930487188703,5.206671780721041,7.99124966730056,9.717201238529254,10.078329957866929,10.170350327830642,10.519625734552664,11.371895670792064,12.094189105043014,12.451244325911466,12.22713001782769,12.195327195327193,12.117327117327113,12.214214962306562,12.091750362230021,11.853627690647272,11.777387113506103,11.792293853215796,11.777891272273289,11.372628619819627,10.867393737429834,9.958806200935319,8.99201343086386,8.262326996746422,8.143120671052168,7.96958412188057,7.6896579263492795,7.501284177711682,7.461508461428015,7.410892977139063,7.304665034800642,7.2342077671334835,7.026886743485929,6.718266253869966,6.517083023685661,6.464486048011762
Desenv. Regional,http://movimentoacredito.org/dados/external_img/regioes_3.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15503875968992248,0.3122714640924382,0.47176109726628196,0.47176109726628196,0.47792708567422376,0.48103907851664024,0.48473047755687654,0.321331784746419,0.321331784746419,0.32441392375088807,0.48467033400729836,0.4728982705853067,0.45857859821941044,0.44647033611114834,0.4431333988856114,0.4431333988856114,0.44581481333173173,0.4295557837635251,0.43021130654294165,0.43370273160299416,0.45329869839673775,0.45666570176374116,0.45666570176374116,0.458741337946231,0.4608360174602653,0.46012486083513027,0.4580492246526404,0.4525875417716027,0.44712585889056494,0.4431391744167077,0.44183390438897074,0.43861329247270664,0.43861329247270664,0.4412472454434763,0.6168325297244127,0.7815161313547804,0.7885338229553054,0.6237842423178742,0.47174739574093905,0.46472970414041415,0.4669443473613913,0.46394923687925343,0.46879339344239357,0.46372070912278546,0.46372070912278546,0.4681298801986233,0.47098792129725425,0.47247128170191494,0.47171900606812267,0.4709945258826558,0.46805540247621175,0.46511627906976766,0.45563792694898636,0.30059916725906394,0.14556040756914143,2.590520390792032e-16,2.590520390792032e-16,2.590520390792032e-16,2.590520390792032e-16,0.15432098765432123,0.3093597473442437,0.4673376304406102,0.470249347188805,0.4709738273742719,0.46451109579305694,0.4479253674805553,0.2921621276051659,0.1406469760900144,3.515706244646329e-16,3.515706244646329e-16,3.515706244646329e-16,3.515706244646329e-16,3.515706244646329e-16,3.515706244646329e-16,3.515706244646329e-16,3.515706244646329e-16,0.16920473773265687,0.33840947546531336,0.502613087944788,0.6667416835454647,0.8259441707717574,1.1519366367236554,1.3064081814391029,1.301625551949409,1.2876199497085128,1.2782839711812632,1.4424642537607884,1.461323282520807,1.4779038879497708,1.6405055139660307,1.792705199954047,1.9449048859420632,1.9449048859420632,1.9643223616702186,1.9643223616702186,1.958038240857996,1.9086555248086132,1.864724584247176,1.8266628070549642,1.9739048503214722
Direitos Humanos,http://movimentoacredito.org/dados/external_img/handprint_2.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6568144499178982,1.6091954022988506,2.7391389051237094,3.350440397234797,3.66617538688283,3.8182831661092536,3.667485659834458,3.3051668192547474,2.7438362579241855,1.8322791390424236,1.136125643463169,0.6237382560757817,0.626310272536687,0.416666666666666,0.20833333333333268,0.0,0.2044989775051118,0.4089979550102243,0.6122499875305495,0.6122499875305495,0.40775101002543696,0.20449897750511178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Economia,http://movimentoacredito.org/dados/external_img/prod-pict-dollar_3.png,0.10482180293501049,0.10509794045591409,0.10500589461561288,0.10567782924981167,0.10608973929165423,0.10638522006102707,0.10619599298550882,0.14165690537169895,0.17681857089607658,0.21149690974777288,0.21089714193288822,0.24554141146752362,0.2799329720202938,0.31348532869831053,0.3126099785582545,0.3107861751342245,0.31046301418930183,0.30928295926310895,0.310563658695759,0.3085627319507403,0.3419087718803415,0.4085489101683815,0.47716463718367,0.511772156453766,0.44677853512375293,0.3687877143575269,0.2996805373073763,0.3010357880569994,0.30999944044655975,0.31020726288307005,0.3062420029657898,0.34177956481914107,0.3776222369448683,0.413379988714627,0.4166838743714538,0.41654143275115185,0.4839826362512287,0.5522599471755985,0.6235053162266101,0.6624177884319872,0.6659488618783148,0.6018899822272313,0.5033120895316916,0.5093126064993072,0.5810697939944004,0.6898377583422333,0.7272609454629362,0.7601305889373849,0.7169315554819186,0.6410478220807492,0.5697465743089132,0.5361014654902615,0.5351410566173128,0.49753491327773675,0.4554235963539502,0.41275695294678255,0.40761133187031867,0.3732154793847493,0.305604480033093,0.23819982232972334,0.20435972045539819,0.2044294915156183,0.20429066032844156,0.20478106864240375,0.20478106864240375,0.20576494674552895,0.20520505200574002,0.23890575429498803,0.27179700395887946,0.3059148390397964,0.306227528607847,0.30727519315404067,0.3431563721715167,0.5706134445795276,1.1292542855920458,1.5306023863913916,1.9856109395262866,2.108804554373017,2.3697085862805554,2.3379024384464206,2.341128399861818,2.2536809994023295,2.204997385053678,2.121281661455494,2.098786009945273,2.089005102277041,2.152982822976656,2.3267219605933915,2.563747908697184,2.737354455797439,2.862115738138613,2.818688479114004,2.8535644294598073,2.881570140070506,3.069816971725731,3.1308672505239854,3.15176166329206,3.1476886643699076,3.2367133786935853,3.3729040047682766,3.4522587783186096,3.4407398506260605,3.3210769413862393,3.152608120165995,2.996821761482286,2.908290282818227,2.828614155508696,2.857728541773131
Educação,http://movimentoacredito.org/dados/external_img/book_2.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13386880856760372,0.39633600016865356,0.6598406114993519,0.7926384695984147,0.7968379446640316,0.7907335907335907,0.7765921765921767,0.7663357663357665,0.7663357663357665,0.7672959383986001,0.7605735721256721,0.7500868949723284,0.7462893605215707,0.7444329449815162,0.7453508393318763,0.8592993128309118,0.9846021665918467,1.1057743820314734,1.1166698536011024,1.120894015808931,1.1292488163380685,1.0091699073407272,0.8892116741749471,0.7722698502755762,0.6470158904751934,0.6490190053187751,0.647000271468646,0.5178013050603772,0.5090244992325782,0.5031518189412932,1.3578526736421477,3.204356350051715,5.688149505486661,6.971813430660021,7.213864474384121,6.7889815895382775,7.0138008892660535,6.947346875443618,6.908638625056535,6.470845640520731,6.296883799892225,5.910948979995141,5.960866526904265,5.700336388923148,5.418482207697898,4.796187095857889,4.551089056642202,4.738265480377765,5.011268210405066,5.1028481636860175,5.034871399379999,5.069590607782048,5.176988094939637,4.907395618450608,4.701205604431412,4.385105669238513,4.423097528125894,4.311653416681783,3.926547747443273,3.641739902609471,3.1471234079929764,2.7756387775155402,2.287333769348161,2.0515940189025286,1.9471757085323744,1.7234141972952672
Infraestrutura,http://movimentoacredito.org/dados/external_img/bricks_3.png,4.519774011299435,4.69231943808215,4.920327654061935,5.255356943113135,5.455228946263827,5.445645445219227,5.5237455869565215,5.475301607574278,5.314392034899999,5.13987196509197,4.979725545508352,5.10330462196701,5.094215034997842,5.199524867610633,4.695458921303404,4.155929006773489,3.4903475273016134,3.3074138337296213,3.169033695349483,3.0124594640723656,2.850315753541558,2.6930155962414006,2.50997072628951,2.33075925675546,1.9885175737316543,2.8704014277517316,2.700003637047225,2.719379101251055,1.6621171781147686,1.6504284489718446,1.4327541272512805,1.2614200849494963,1.0703033383445748,1.0589831176002702,1.047292680377918,1.0582599977720832,1.0582599977720832,1.0526902083101248,1.0435034225827151,1.2152966162999927,1.3981713703009584,1.5932887674908944,1.6015559632580902,1.6015559632580902,1.748300646085247,1.9209545029496304,2.090793995297521,2.0979532163742682,2.083484053777054,2.0761741122565858,2.0761741122565853,2.0424836601307175,1.885673624288424,1.7224376791799687,1.464099824934186,1.3170904163320354,1.178038779741144,1.1734068627450969,1.1764826501466716,1.1734308457673324,1.1796312425927293,1.1796312425927293,1.1796312425927293,1.0442437542640643,1.0411679668624896,1.0520629084967308,1.0583626171352063,1.070963423586819,1.0741892300384321,1.2096774193548376,1.2096774193548374,1.2096774193548374,1.4474772539288656,2.1903832526348457,3.0858587448845323,3.7351556845040523,3.8629092296649303,3.9620573933292236,4.056186356880016,4.171189895450433,4.293427295191248,4.44406347029354,4.5752614435110575,4.490053168601119,4.357338696336314,4.248761063328714,4.248761063328714,4.17089112755355,3.9898069543831567,3.789496268421256,3.7721824996466378,3.848946986201886,3.808733048050923,3.5944396804306504,3.3873601489480905,3.285902360727874,3.285902360727874,3.2680434319778553,3.2573983393655492,3.2609933925723364,3.271638485184642,3.2751637330095646,3.267997123675773,3.2469123100128137,3.2060680593516473,3.148735184681311,3.099418711006445,3.259305908700041
Justiça,http://movimentoacredito.org/dados/external_img/scale_4.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557632398753894,0.3144933986055481,0.46881438625986904,0.4638807089787482,0.4609137901239788,0.6195818478530694,0.7817413306422125,0.9331977528251949,0.9346741162468147,1.0889747904895712,1.0977108946239327,1.1116527107778502,0.9776963244850153,1.1567900632427772,1.3334333433343335,1.5182347250269068,1.714031506777621,2.0908152168946645,2.5250614542497103,2.9453262786596124,3.180810499246254,3.1700491325526836,3.1518341963049603,3.0927168187518284,3.3791674085030423,3.735546595958495,4.150642038678247,4.364013304681092,4.379939407563716,4.355918268961747,4.303365716409194,4.486515899559376,4.543831874340347,4.72357043643185,4.6256063849794264,4.8632010943912425,5.3898117386489455,5.469858924358416,5.296353506119039,4.521247424082263,4.354227275619909,4.537932612259938,4.989137153003868,5.297059072802775,5.352627859021716,5.2479579717431335,5.288215620696435,5.492912884217229,5.829889204800106,6.180457164063718,6.4004420209200825,6.6825133193848245,6.7549880287310415,6.780238162872379,6.979903994117158,7.034251385841968,7.185711897922747,6.703193011292725,6.569381161852637,6.370423024653115,6.5605442504644245,6.598354292811671,6.278250210679533,5.265208757489035,3.8162739203963043,2.661451748841127,2.222251486632015,2.222251486632015,2.2288359788359764,2.4191939345570606,2.6114759035244224,2.8143979814465006,3.046089982659094,3.3145796717525458,3.565214765202011,3.5858560201903145,3.5715129335580706,3.915333962021375,4.486287974270934,5.367374872306985
Meio Ambiente,http://movimentoacredito.org/dados/external_img/tree_3.png,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14749262536873156,0.2990077768838831,0.4498373394781516,0.45249486425957014,0.45045654383559947,0.4484365050508548,0.4484365050508548,0.44910982410982414,0.45181545181545185,0.45181545181545185,0.4472257092344429,0.4425534358397025,0.43546480214162675,0.43055137066249966,0.4331853236332693,0.5877428548002425,0.7447149263292759,0.8955383955383954,0.7422194922194921,0.5934099684099684,0.4367878290292082,0.4374152209609479,0.4341661047205653,0.4406380939511753,0.4406380939511753,0.4387558473015743,0.4335332333833082,0.4322838580709644,0.43675384529957234,0.43997445721583645,0.4431391744167074,0.4424836516372908,0.4424836516372908,0.4424836516372908,0.4471980277906293,0.45056503115763263,0.45455171563148994,0.45455171563148994,0.4552435656384084,0.4552435656384084,0.45455171563148994,0.4559545451386058,0.604078644726699,1.7416979315172567,3.6570536177294506,6.34317458241276,8.361928184819519,10.061078609607124,10.693575042172975,10.921040536814045,10.293021213142547,9.727093346199284,9.159776340526113,8.778300411823798,8.694693749015899,8.504434997113313,8.713850837138507,8.942161339421611,9.820297540138458,10.860699829023494,10.857965571511121,10.752347451004661,10.294204490427427,10.275194890579503,9.406891369756089,8.34701696770662,7.662835249042142,7.415299840716341,7.332285792185051,6.536779590483641,5.846508708156318,5.173205346991685,5.222476139266025,5.232676057666677,5.4142808236844395,5.455809062887098,5.845672610645383,6.099589044933169
