orgao,logo
Agricultura,http://movimentoacredito.org/dados/external_img/tractor_3.png
Cidadania,http://movimentoacredito.org/dados/external_img/people_3.png
Ciência & Comunicações,http://movimentoacredito.org/dados/external_img/antenna_2.png
Desenv. Regional,http://movimentoacredito.org/dados/external_img/regioes_3.png
Direitos Humanos,http://movimentoacredito.org/dados/external_img/handprint_2.png
Economia,http://movimentoacredito.org/dados/external_img/prod-pict-dollar_3.png
Educação,http://movimentoacredito.org/dados/external_img/book_2.png
Infraestrutura,http://movimentoacredito.org/dados/external_img/bricks_3.png
Justiça,http://movimentoacredito.org/dados/external_img/scale_4.png
Meio Ambiente,http://movimentoacredito.org/dados/external_img/tree_3.png
Minas e Energia,http://movimentoacredito.org/dados/external_img/ray_2.png
Presidência,http://movimentoacredito.org/dados/external_img/bandeira_brasil.jpeg
Relações Exteriores,http://movimentoacredito.org/dados/external_img/partenon_3.png
Saúde,http://movimentoacredito.org/dados/external_img/sus_2.png
Turismo,http://movimentoacredito.org/dados/external_img/umbrella_2.png
