data,n_total,n_militares,n_militares_ativos,n_militares_inativos,frac_militares,frac_ativos,frac_inativos,orgao,data_text
2013-01-01,224.0,1.0,0.0,1.0,0.004464285714285714,0.0,1.0,Ciência & Comunicações,01/2013
2013-02-01,219.0,1.0,0.0,1.0,0.0045662100456621,0.0,1.0,Ciência & Comunicações,02/2013
2013-03-01,219.0,1.0,0.0,1.0,0.0045662100456621,0.0,1.0,Ciência & Comunicações,03/2013
2013-04-01,217.0,1.0,0.0,1.0,0.004608294930875576,0.0,1.0,Ciência & Comunicações,04/2013
2013-05-01,193.0,1.0,0.0,1.0,0.005181347150259068,0.0,1.0,Ciência & Comunicações,05/2013
2013-06-01,191.0,1.0,0.0,1.0,0.005235602094240838,0.0,1.0,Ciência & Comunicações,06/2013
2013-07-01,190.0,1.0,0.0,1.0,0.005263157894736842,0.0,1.0,Ciência & Comunicações,07/2013
2013-08-01,191.0,1.0,0.0,1.0,0.005235602094240838,0.0,1.0,Ciência & Comunicações,08/2013
2013-09-01,194.0,1.0,0.0,1.0,0.005154639175257731,0.0,1.0,Ciência & Comunicações,09/2013
2013-10-01,190.0,1.0,0.0,1.0,0.005263157894736842,0.0,1.0,Ciência & Comunicações,10/2013
2013-11-01,187.0,1.0,0.0,1.0,0.005347593582887699,0.0,1.0,Ciência & Comunicações,11/2013
2013-12-01,188.0,1.0,0.0,1.0,0.005319148936170213,0.0,1.0,Ciência & Comunicações,12/2013
2014-01-01,195.0,1.0,0.0,1.0,0.005128205128205127,0.0,1.0,Ciência & Comunicações,01/2014
2014-02-01,195.0,1.0,0.0,1.0,0.005128205128205127,0.0,1.0,Ciência & Comunicações,02/2014
2014-03-01,196.0,2.0,1.0,1.0,0.010204081632653062,0.5,0.5,Ciência & Comunicações,03/2014
2014-04-01,195.0,2.0,1.0,1.0,0.010256410256410255,0.5,0.5,Ciência & Comunicações,04/2014
2014-05-01,198.0,1.0,1.0,0.0,0.005050505050505051,1.0,0.0,Ciência & Comunicações,05/2014
2014-06-01,197.0,1.0,1.0,0.0,0.005076142131979695,1.0,0.0,Ciência & Comunicações,06/2014
2014-07-01,199.0,1.0,1.0,0.0,0.005025125628140703,1.0,0.0,Ciência & Comunicações,07/2014
2014-08-01,196.0,1.0,1.0,0.0,0.005102040816326531,1.0,0.0,Ciência & Comunicações,08/2014
2014-09-01,198.0,0.0,0.0,0.0,0.0,,,Ciência & Comunicações,09/2014
2014-10-01,194.0,1.0,0.0,1.0,0.005154639175257731,0.0,1.0,Ciência & Comunicações,10/2014
2014-11-01,195.0,1.0,0.0,1.0,0.005128205128205127,0.0,1.0,Ciência & Comunicações,11/2014
2014-12-01,193.0,1.0,0.0,1.0,0.005181347150259068,0.0,1.0,Ciência & Comunicações,12/2014
2015-01-01,191.0,1.0,0.0,1.0,0.005235602094240838,0.0,1.0,Ciência & Comunicações,01/2015
2015-02-01,225.0,2.0,0.0,2.0,0.008888888888888889,0.0,1.0,Ciência & Comunicações,02/2015
2015-03-01,201.0,1.0,0.0,1.0,0.004975124378109453,0.0,1.0,Ciência & Comunicações,03/2015
2015-04-01,191.0,1.0,0.0,1.0,0.005235602094240838,0.0,1.0,Ciência & Comunicações,04/2015
2015-05-01,199.0,1.0,0.0,1.0,0.005025125628140703,0.0,1.0,Ciência & Comunicações,05/2015
2015-06-01,194.0,1.0,0.0,1.0,0.005154639175257731,0.0,1.0,Ciência & Comunicações,06/2015
2015-07-01,200.0,1.0,0.0,1.0,0.005,0.0,1.0,Ciência & Comunicações,07/2015
2015-08-01,200.0,1.0,0.0,1.0,0.005,0.0,1.0,Ciência & Comunicações,08/2015
2015-09-01,201.0,1.0,0.0,1.0,0.004975124378109453,0.0,1.0,Ciência & Comunicações,09/2015
2015-10-01,191.0,1.0,0.0,1.0,0.005235602094240838,0.0,1.0,Ciência & Comunicações,10/2015
2015-11-01,192.0,1.0,0.0,1.0,0.005208333333333332,0.0,1.0,Ciência & Comunicações,11/2015
2015-12-01,196.0,1.0,0.0,1.0,0.005102040816326531,0.0,1.0,Ciência & Comunicações,12/2015
2016-01-01,202.0,1.0,0.0,1.0,0.0049504950495049506,0.0,1.0,Ciência & Comunicações,01/2016
2016-02-01,190.0,1.0,0.0,1.0,0.005263157894736842,0.0,1.0,Ciência & Comunicações,02/2016
2016-03-01,189.0,1.0,0.0,1.0,0.005291005291005291,0.0,1.0,Ciência & Comunicações,03/2016
2016-04-01,188.0,1.0,0.0,1.0,0.005319148936170213,0.0,1.0,Ciência & Comunicações,04/2016
2016-05-01,188.0,1.0,0.0,1.0,0.005319148936170213,0.0,1.0,Ciência & Comunicações,05/2016
2016-06-01,188.0,2.0,0.0,2.0,0.010638297872340425,0.0,1.0,Ciência & Comunicações,06/2016
2016-07-01,185.0,2.0,0.0,2.0,0.010810810810810811,0.0,1.0,Ciência & Comunicações,07/2016
2016-08-01,187.0,2.0,0.0,2.0,0.010695187165775399,0.0,1.0,Ciência & Comunicações,08/2016
2016-09-01,191.0,2.0,0.0,2.0,0.010471204188481676,0.0,1.0,Ciência & Comunicações,09/2016
2016-10-01,192.0,2.0,0.0,2.0,0.010416666666666664,0.0,1.0,Ciência & Comunicações,10/2016
2016-11-01,192.0,3.0,0.0,3.0,0.015625,0.0,1.0,Ciência & Comunicações,11/2016
2016-12-01,229.0,3.0,0.0,3.0,0.013100436681222707,0.0,1.0,Ciência & Comunicações,12/2016
2017-01-01,237.0,3.0,0.0,3.0,0.012658227848101267,0.0,1.0,Ciência & Comunicações,01/2017
2017-02-01,243.0,4.0,0.0,4.0,0.01646090534979424,0.0,1.0,Ciência & Comunicações,02/2017
2017-03-01,240.0,4.0,0.0,4.0,0.016666666666666666,0.0,1.0,Ciência & Comunicações,03/2017
2017-04-01,240.0,3.0,0.0,3.0,0.0125,0.0,1.0,Ciência & Comunicações,04/2017
2017-05-01,246.0,3.0,0.0,3.0,0.012195121951219513,0.0,1.0,Ciência & Comunicações,05/2017
2017-06-01,239.0,3.0,0.0,3.0,0.012552301255230125,0.0,1.0,Ciência & Comunicações,06/2017
2017-07-01,235.0,3.0,0.0,3.0,0.012765957446808508,0.0,1.0,Ciência & Comunicações,07/2017
2017-08-01,236.0,3.0,0.0,3.0,0.012711864406779662,0.0,1.0,Ciência & Comunicações,08/2017
2017-09-01,236.0,3.0,0.0,3.0,0.012711864406779662,0.0,1.0,Ciência & Comunicações,09/2017
2017-10-01,234.0,3.0,0.0,3.0,0.01282051282051282,0.0,1.0,Ciência & Comunicações,10/2017
2017-11-01,232.0,3.0,0.0,3.0,0.01293103448275862,0.0,1.0,Ciência & Comunicações,11/2017
2017-12-01,236.0,3.0,0.0,3.0,0.012711864406779662,0.0,1.0,Ciência & Comunicações,12/2017
2018-01-01,236.0,3.0,0.0,3.0,0.012711864406779662,0.0,1.0,Ciência & Comunicações,01/2018
2018-02-01,237.0,3.0,0.0,3.0,0.012658227848101267,0.0,1.0,Ciência & Comunicações,02/2018
2018-03-01,238.0,3.0,0.0,3.0,0.012605042016806723,0.0,1.0,Ciência & Comunicações,03/2018
2018-04-01,238.0,3.0,0.0,3.0,0.012605042016806723,0.0,1.0,Ciência & Comunicações,04/2018
2018-05-01,237.0,3.0,0.0,3.0,0.012658227848101267,0.0,1.0,Ciência & Comunicações,05/2018
2018-06-01,237.0,3.0,0.0,3.0,0.012658227848101267,0.0,1.0,Ciência & Comunicações,06/2018
2018-07-01,244.0,3.0,0.0,3.0,0.012295081967213115,0.0,1.0,Ciência & Comunicações,07/2018
2018-08-01,243.0,5.0,0.0,5.0,0.0205761316872428,0.0,1.0,Ciência & Comunicações,08/2018
2018-09-01,244.0,4.0,0.0,4.0,0.01639344262295082,0.0,1.0,Ciência & Comunicações,09/2018
2018-10-01,242.0,4.0,0.0,4.0,0.01652892561983471,0.0,1.0,Ciência & Comunicações,10/2018
2018-11-01,248.0,4.0,0.0,4.0,0.016129032258064516,0.0,1.0,Ciência & Comunicações,11/2018
